Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Salary Count,Average Salary
243,Trey Murphy III,NOP,"$5,159,854","$25,000,000","$27,000,000","$29,000,000","$31,000,000",,117159854,5,23431970.8
244,Ousmane Dieng,OKC,"$5,027,040","$6,670,882",,,,,11697922,2,5848961.0
245,Dereck Lively II,DAL,"$5,014,560","$5,253,360","$7,239,131",,,,10267920,3,3422640.0
246,Nick Richards,PHO,"$5,000,000","$5,000,000",,,,,5000000,2,2500000.0
247,Andre Drummond,PHI,"$5,000,000","$5,000,000",,,,,5000000,2,2500000.0
248,Drew Eubanks,LAC,"$5,000,000","$4,750,000",,,,,5000000,2,2500000.0
249,Nikola Topić,OKC,"$4,935,960","$5,182,920","$5,429,760","$7,482,210",,,10118880,4,2529720.0
250,Tre Mann,CHO,"$4,908,373",,,,,,4908373,1,4908373.0
251,Jalen Williams,OKC,"$4,775,760","$6,580,997",,,,,11356757,2,5678378.5
252,Gradey Dick,TOR,"$4,763,760","$4,990,560","$7,131,511",,,,9754320,3,3251440.0
253,Jalen McDaniels,SAS,"$4,741,800",,,,,,4741800,1,4741800.0
254,Miles McBride,NYK,"$4,710,144","$4,333,333","$3,956,523",,,,13000000,3,4333333.333333333
255,Devin Carter,SAC,"$4,689,000","$4,923,720","$5,158,080","$7,370,897",,,9612720,4,2403180.0
256,Nicolas Batum,LAC,"$4,668,000","$4,901,400",,,,,4668000,2,2334000.0
257,Aaron Holiday,HOU,"$4,668,000","$4,901,400",,,,,4668000,2,2334000.0
258,Jalen Duren,DET,"$4,536,840","$6,483,144",,,,,11019984,2,5509992.0
259,Jordan Hawkins,NOP,"$4,525,680","$4,741,320","$7,021,895",,,,9267000,3,3089000.0
260,Jalen Johnson,ATL,"$4,510,905","$30,000,000","$30,000,000","$30,000,000","$30,000,000","$30,000,000",154510905,6,25751817.5
261,Bub Carrington,WAS,"$4,454,880","$4,677,600","$4,900,560","$7,257,730",,,9132480,4,2283120.0
262,Isaiah Jackson,IND,"$4,435,381",,,,,,4435381,1,4435381.0
263,Nickeil Alexander-Walker,MIN,"$4,312,500",,,,,,4312500,1,4312500.0
264,Ochai Agbaji,TOR,"$4,310,280","$6,383,525",,,,,10693805,2,5346902.5
265,Kobe Bufkin,ATL,"$4,299,000","$4,503,720","$6,904,203",,,,8802720,3,2934240.0
266,Quentin Grimes,PHI,"$4,296,682",,,,,,4296682,1,4296682.0
267,Kel'el Ware,MIA,"$4,231,800","$4,443,360","$4,654,920","$7,135,992",,,8675160,4,2168790.0
268,Bones Hyland,ATL,"$4,158,439",,,,,,4158439,1,4158439.0
269,Mark Williams,CHO,"$4,094,280","$6,276,531",,,,,10370811,2,5185405.5
270,Keyonte George,UTA,"$4,084,200","$4,278,960","$6,563,925",,,,8363160,3,2787720.0
271,Cam Thomas,BRK,"$4,041,249",,,,,,4041249,1,4041249.0
272,Jared McCain,PHI,"$4,020,360","$4,221,360","$4,422,600","$6,784,268",,,8241720,4,2060430.0
273,Jaden Springer,HOU,"$4,018,363",,,,,,4018363,1,4018363.0
